NAME,SAP EFFECT,BALATRO EFFECT
Ant,"on death, buff other animal","on destroyed, give playing cards mult and chips"
Beaver,"on sell, buff other animal","on sell, buff playing cards bonus mult"
Cricket,"on death, summon temporary unit",
Duck,"on sell, buff other animal","on sell, buff playing cards bonus chips"
Fish,"on level, buff other animal","on level, give another joker bonus mult"
Horse,"on summon, buff self",
Mosquito,"on battle start, deal damage","on battle start, reduce blind chips"
Otter,"on buy, buff other animal","on buy, give random joker bonus chips"
Pig,"on sell, gain gold",has increased sell price
Pigeon,"on sell, make consumable that buffs","on sell, create a Bread Crumbs"
Baku,"every other turn, replace a debuff with a buff",
Axehandle Hound,"on battle start, deal damage if opponent has multiple copies","on boss blind start, reduce blind chips"
Barghest,"on battle start, debuff opponent",
Tsuchinoko,"on battle start, move to front and gain xp","on battle start, become pinned, then gain xp"
Murmel,"on other animal level, temporary buff self","on ally level up, temporarily gain bonus chips and mult"
Alchemedes,"on battle start, give mana to other animal","on battle start, give mana to random joker"
Warg,"on mana gain, deal damage","on mana gain, reduce blind chips"
Bunyip,"per roll, gain hp","on roll, gain chips"
Sneaky Egg,"on battle start, die and spawn a token",
Cuddle Toad,"on sell, gain a temporary buff token","on sell, create a Witch toy that breaks in 2 rounds"
Basilisk,"on battle start, turn other animal into rock","on battle start, disable the blind effect, and if an effect is disabled, increase blind chips"
Bulldog,"on attack, set attack to hp",
Chipmunk,"on sell, gain gold copy of buff on this","on sell, create a copy of the perk effect in the shop"
Groundhog,"on death, gain trumpet",
Cone Snail,"on battle start, buff other animal","on battle start, give the joker to the right bonus chips"
Goose,"on battle start, debuff opponent",
Pied Tamarin,"on death, spend trumpet to deal damage",
Opossum,"on sell, buff animal with on death effect","on sell, give joker with on death effect bonus chips and bonus mult"
Silkmoth,"on ally damaged, give it hp",
Magpie,"on turn end, lose gold. on turn start, if gold lost, gain gold","on shop finish, lose money, on beating a blind, gain money"
Cockroach,"on battle start, set attack to level","on battle start, set bonus mult based on level"
Duckling,"on sell, buff shop animal","on sell, give left-most shop joker chip bonus"
Frog,swap stats of other animals,swap chip and mult bonus
Hummingbird,"on battle start, buff animal with strawberry","on battle start, give joker without perk strawberry perk"
Kiwi,"on sell, remove strawberry from animal then buff it","on sell, replace strawberry perk for bonus mult and chips"
Marmoset,"on sell, gain free rerolls","on sell, gain free rerolls"
Mouse,"on sell, gain food token","on sell, put a food card in the shop"
Pillbug,"on shop tier upgrade, buff animal","on ante up, buff a random joker with bonus chips"
Seahorse,"on battle start, change enemy formation",
Beetle,"on battle start, gain a food buff","on battle start gain, Honey/Meat Bone/Garlic perk depending on level"
Blue Bird,"on turn end, buff animal","on shop exit, give a random joker bonus mult"
Chinchilla,"on sell, gain a token",
Ferret,"on buy, gain toy buff","on buy, add a tier 1 toy"
Gecko,"on battle start, if have toy, buff self","on battle start, gain bonus chips if you have a toy"
Ladybug,"on animal gain perk, buff self","on ally gaining a perk, gain temporary bonus mult"
Moth,"on battle start, buff front animal","on battle start, give the left-most joker bonus mult"
Frilled Dragon,"on battle start, buff self per on death animal","on battle start, gain bonus mult and bonus chips for each on-death joker"
Sloth,chill maxxer,bro is CHILLING!
Crab,"on battle start, copy stats from stronger ally",
Flamingo,"on death, buff ally",
Hedgehog,"on death, deal damage to all",
Kangaroo,"on ally attack, gain self-buff",
Peacock,"on damaged, gain attack",
Rat,"on death, summon token for opponent",
Snail,"if you lost last battle, buff allies",
Spider,on death summon tier 1 pet,
Swan,"on turn start, gain gold",
Worm,"on turn start, gain food token",
Ghost Kitten,take less damage,
Frost Wolf,on death make enemy debuff,
Mothman,on death deal damage to debuffed,
Drop Bear,"if open slot, move and deal damage to opponent",
Jackalope,"if ally moved, deal damage",
Lucky Cat,"on level, buff self and gain gold",
Ogopogo,"on battle start, give xp to ally",
Thunderbird,"on battle start, give mana to ally",
Gargoyle,"on death, buff ally based on self mana",
Bigfoot,on death gain free rolls,
Nightcrawler,on death summon token based on summons this round,
Sphinx,on buy gain toy,
Chupacabra,on kill buff ally,
Golden Beetle,"on sell gain money, gain more if buffed",
African Penguin,on buy give allies atk,
Black Necked Stilt,on death gain trumpet,
Door Head Ant,"if open slot, move and gain health",
Gazelle,"on start of turn, buff self based on money",
Hercules Beetle,"on sell, buff allies based on total rounds of this animal",
Lizard,"on damaged, summon token",
Sea Turtle,"on ally summon, gain hp",
Sea Urchin,"on death, deal damage",
Squid,"on death, spent trumpet to debuff",
Stoat,"on sell, summon ally",
Atlantic Puffin,"on battle start, deal damage for each buffed ally",
Dove,on death give buffed ally buff,
Guinea Pig,"on buy, summon guinea pig",
Iguana,"on enemy summon or move, deal damage",
Jellyfish,"on ally level, self buff",
Koala,"on ally damage, buff it",
Panda,"on battle start, buff an ally then die",
Salamander,"on ally buy, if it has battle start, buff self",
Stork,on death summon token,
Yak,"on turn end, damage self anf buff self",
Bat,"on battle start, debuff enemy",
Beluga Sturgeon,on death summon token with buff,
Dromedary,on turn start buff shop pets,
Frigatebird,"on ally gain debuff, buff it",
Lemur,"on buy, gain toy buff",
Mandril,on death break toy,
Robin,"on battle start, summon token with buff",
Shrimp,"on ally sell, buff ally",
